isco_code,occupation,task,vector,difficulty_threshold,time_weight_pct,machine_credit_2026
1330,IT Managers,"Manage backup, security and user help systems.",S_E,0.48,9.2,0.261
1330,IT Managers,"Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.",S_E,0.55,9.6,0.168
1330,IT Managers,"Meet with department heads, managers, supervisors, vendors, and others, to solicit cooperation and resolve problems.",S_E,0.55,8.3,0.168
1330,IT Managers,Review project plans to plan and coordinate project activity.,S_E,0.55,8.1,0.168
1330,IT Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",S_E,0.45,9.4,0.31
1330,IT Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",C_G,0.68,7.9,0.293
1330,IT Managers,"Consult with users, management, vendors, and technicians to assess computing needs and system requirements.",C_G,0.6,8.9,0.44
1330,IT Managers,"Evaluate the organization's technology use and needs and recommend improvements, such as hardware and software upgrades.",C_G,0.6,8.6,0.44
1330,IT Managers,"Formulating and directing information and communication technology (ICT) strategies, policies and plans.",S_E,0.6,6.0,0.119
1330,IT Managers,Directing the selection and installation of ICT resources and the provision of user training.,S_E,0.55,6.0,0.168
1330,IT Managers,"Establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources.",S_E,0.55,6.0,0.168
1330,IT Managers,Establishing and directing operational and administrative procedures.,S_E,0.48,6.0,0.261
1330,IT Managers,"Overseeing the selection, training and performance of staff.",S_E,0.48,6.0,0.261
1431,Recreation Managers,Direct or participate in emergency management and contingency planning.,S_E,0.68,14.5,0.067
1431,Recreation Managers,"Planning and organizing the range and mix of entertainment, attractions, cultural activities, and sports and fitness programmes to be offered by the centre.",C_G,0.48,9.5,0.673
1431,Recreation Managers,Ensuring that facilities are kept clean and in good condition.,S_E,0.48,9.5,0.261
1431,Recreation Managers,Keeping abreast of new trends and developments in the creative arts and arranging theatrical productions and performances by bands and orchestras.,C_G,0.48,9.5,0.673
1431,Recreation Managers,"Advising on the facilities available and promoting publicity in relation to events, shows and activities.",C_G,0.6,9.5,0.44
1431,Recreation Managers,Checking and keeping custody of all cash receipts and making regular stock checks.,C_R,0.28,9.5,0.979
1431,Recreation Managers,"Establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources.",S_E,0.45,9.5,0.31
1431,Recreation Managers,Planning and directing daily operations.,S_E,0.45,9.5,0.31
1431,Recreation Managers,"Controlling the selection, supervision and performance of staff.",S_E,0.48,9.5,0.261
1431,Recreation Managers,Ensuring compliance with health and safety regulations.,S_E,0.48,9.5,0.261
2111,Physicists,Collaborate with other astronomers to carry out research projects.,C_G,0.7,14.5,0.261
2111,Physicists,"Conducting research and improving or developing concepts, theories, instrumentation, software and operational methods related to physics and astronomy.",C_G,0.7,9.5,0.261
2111,Physicists,"Conducting experiments, tests and analyses on the structure and properties of matter in fields such as mechanics, thermodynamics, electronics, communications, power generation and distribution…",C_G,0.7,9.5,0.261
2111,Physicists,"Evaluating results of investigations and experiments and expressing conclusions, mainly using mathematical techniques and models.",C_G,0.7,9.5,0.261
2111,Physicists,"Applying principles, techniques and processes to develop or improve industrial, medical, military and other practical applications of the principles and techniques of physics or astronomy.",C_G,0.7,9.5,0.261
2111,Physicists,Ensuring the safe and effective delivery of radiation (ionising and non-ionising) to patients to achieve a diagnostic or therapeutic result as prescribed by a medical practitioner.,C_G,0.7,9.5,0.261
2111,Physicists,Ensuring the accurate measurement and characterization of physical quantities used in medical applications.,C_G,0.7,9.5,0.261
2111,Physicists,"Testing, commissioning and evaluating equipment used in applications such as imaging, medical treatment and dosimetry.",C_G,0.7,9.5,0.261
2111,Physicists,"Observing, analysing and interpreting celestial phenomena and developing methods, numerical models and techniques to extend knowledge of fields such as navigation, satellite communication, space…",C_G,0.7,9.5,0.261
2111,Physicists,"Developing, implementing and maintaining standards and protocols for the measurement of physical phenomena and for the use of nuclear technology in industrial and medical applications.",C_G,0.7,9.5,0.261
XDATA_SCI,Data Scientists,Analyze and interpret statistical data to identify significant differences in relationships among sources of information.,C_G,0.6,11.2,0.44
XDATA_SCI,Data Scientists,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders.",C_R,0.58,11.0,0.808
XDATA_SCI,Data Scientists,"Design and validate clinical databases, including designing or testing logic checks.",C_G,0.6,10.6,0.44
XDATA_SCI,Data Scientists,"Develop and test experimental designs, sampling techniques, and analytical methods.",C_G,0.6,10.4,0.44
XDATA_SCI,Data Scientists,"Build exploratory analyses to identify signal, confounding factors, and data-quality anomalies in business datasets.",C_G,0.6,7.1,0.44
XDATA_SCI,Data Scientists,"Develop statistical and machine-learning models for forecasting, classification, and causal inference use cases.",C_G,0.7,7.1,0.261
XDATA_SCI,Data Scientists,"Design A/B test frameworks, define success metrics, and interpret experiment outcomes for decision support.",C_G,0.6,7.1,0.44
XDATA_SCI,Data Scientists,"Query and join multi-source datasets, then engineer features aligned to model objectives and domain constraints.",C_G,0.7,7.1,0.261
XDATA_SCI,Data Scientists,Communicate model findings with uncertainty bounds and actionable recommendations for product stakeholders.,C_G,0.7,7.1,0.261
XDATA_SCI,Data Scientists,Validate model assumptions with out-of-sample tests and monitor post-deployment performance degradation.,C_G,0.7,7.1,0.261
XDATA_SCI,Data Scientists,Automate reporting pipelines and dashboards that track KPI movement and model-impact indicators.,C_G,0.7,7.1,0.261
XDATA_SCI,Data Scientists,"Document data lineage, feature definitions, and reproducibility steps for peer review and governance.",C_R,0.43,7.1,0.933
2523,Computer Specialists,Develop and implement solutions for network problems.,C_G,0.6,12.2,0.44
2523,Computer Specialists,"Maintain networks by performing activities such as file addition, deletion, or backup.",C_R,0.28,13.5,0.979
2523,Computer Specialists,"Coordinate network operations, maintenance, repairs, or upgrades.",S_E,0.55,12.0,0.168
2523,Computer Specialists,"Analyzing, developing, interpreting and evaluating complex system design and architecture specifications, data models and diagrams in the development, configuration and integration of computer syst...",C_G,0.8,8.7,0.137
2523,Computer Specialists,"Monitoring network traffic, and activity, capacity and usage to ensure continued integrity and optimal network performance.",S_E,0.48,10.1,0.261
2523,Computer Specialists,"Assessing and recommending improvements to network operations and integrated hardware, software, communications and operating systems.",C_G,0.6,8.7,0.44
2523,Computer Specialists,Providing specialist skills in supporting and troubleshooting network problems and emergencies.,C_G,0.6,8.7,0.44
2523,Computer Specialists,"Installing, configuring, testing, maintaining and administering new and upgraded networks, software database applications, servers and workstations.",C_G,0.6,8.7,0.44
2523,Computer Specialists,"Preparing and maintaining procedures and documentation for network inventory, and recording diagnosis and resolution of network faults, enhancements and modifications to networks, and maintenance i...",C_G,0.55,8.7,0.54
2523,Computer Specialists,Recommend strategies for network architecture.,C_G,0.7,8.7,0.261
2152,Electronics Engineers,"Design and develop computer hardware and support peripherals, including central processing units (CPUs), support logic, microprocessors, custom integrated circuits, and printers and disk drives.",C_G,0.55,9.3,0.54
2152,Electronics Engineers,Confer with engineering staff and consult specifications to evaluate interface between hardware and software and operational and performance requirements of overall system.,C_G,0.6,9.3,0.44
2152,Electronics Engineers,"Design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications.",C_G,0.7,10.7,0.261
2152,Electronics Engineers,Operate computer-assisted engineering or design software or equipment to perform electronics engineering tasks.,C_G,0.6,9.1,0.44
2152,Electronics Engineers,"Evaluate project work to ensure effectiveness, technical adequacy, or compatibility in the resolution of complex electronics engineering problems.",C_G,0.55,8.8,0.54
2152,Electronics Engineers,"Advising on and designing electronic devices or components, circuits, semi-conductors, and systems.",C_G,0.6,6.6,0.44
2152,Electronics Engineers,"Specifying production or installation methods, materials and quality standards and directing production or installation work of electronic products and systems.",S_E,0.48,6.6,0.261
2152,Electronics Engineers,"Establishing control standards and procedures to ensure efficient functioning and safety of electronic systems, motors and equipment.",C_G,0.52,6.6,0.599
2152,Electronics Engineers,Organising and directing maintenance and repair of existing electronic systems and equipment.,S_E,0.55,6.6,0.168
2152,Electronics Engineers,"Designing electronic circuits and components for use in fields such as aerospace guidance and propulsion control, acoustics, or instruments and controls.",C_G,0.6,6.6,0.44
2152,Electronics Engineers,"Researching and advising on radar, telemetry and remote control systems, microwaves and other electronic equipment.",C_G,0.7,6.6,0.261
2152,Electronics Engineers,Designing and developing signal processing algorithms and implementing these through appropriate choice of hardware and software.,C_G,0.6,6.6,0.44
2152,Electronics Engineers,"Developing apparatus and procedures to test electronic components, circuits and systems.",C_G,0.6,6.6,0.44
2149,Engineers,"Design or develop nuclear equipment, such as reactor cores, radiation shielding, or associated instrumentation or control mechanisms.",C_G,0.78,10.0,0.157
2149,Engineers,"Monitor nuclear facility operations to identify any design, construction, or operation practices that violate safety regulations and laws or could jeopardize safe operations.",C_G,0.6,9.6,0.44
2149,Engineers,"Conduct engineering site audits to collect structural, electrical, and related site information for use in the design of residential or commercial solar power systems.",Phi_U,0.6,9.6,0.027
2149,Engineers,"Design or coordinate design of photovoltaic (PV) or solar thermal systems, including system components, for residential and commercial buildings.",C_G,0.6,9.4,0.44
2149,Engineers,"Troubleshoot new or existing product problems involving designs, materials, or processes.",C_G,0.6,9.4,0.44
2149,Engineers,"Applying knowledge of engineering to the design, development, and evaluation of biological and health systems and products, such as artificial organs, prostheses, and instrumentation.",C_G,0.6,6.5,0.44
2149,Engineers,"Designing devices used in various medical procedures, imaging systems such as magnetic resonance imaging, and devices for automating insulin injections or controlling body functions.",C_G,0.78,6.5,0.157
2149,Engineers,"Designing components of optical instruments such as lenses, microscopes, telescopes, lasers, optical disc systems and other equipment that utilize the properties of light.",C_G,0.6,6.5,0.44
2149,Engineers,"Designing, testing, and coordinating the development of explosive ordnance material to meet military procurement specifications.",C_G,0.6,6.5,0.44
2149,Engineers,Designing and overseeing construction and operation of nuclear reactors and power plants and nuclear fuels reprocessing and reclamation systems.,S_E,0.74,6.5,0.042
2149,Engineers,Assessing damage and providing calculations for marine salvage operations.,C_G,0.6,6.5,0.44
2149,Engineers,"Studying and advising on engineering aspects of particular manufacturing processes, such as those related to glass, ceramics, textiles, leather products, wood, and printing.",C_G,0.6,6.5,0.44
2149,Engineers,Identifying potential hazards and introducing safety procedures and devices.,C_G,0.6,6.5,0.44
2153,Telecom Engineers,"Design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications.",C_G,0.7,15.2,0.261
2153,Telecom Engineers,Operate computer-assisted engineering or design software or equipment to perform electronics engineering tasks.,C_G,0.6,13.0,0.44
2153,Telecom Engineers,"Direct or coordinate activities concerned with manufacture, construction, installation, maintenance, operation, or modification of electronic equipment, products, or systems.",S_E,0.55,12.3,0.168
2153,Telecom Engineers,"Advising on and designing telecommunications devices or components, systems, equipment and distribution centres.",C_G,0.6,11.2,0.44
2153,Telecom Engineers,"Specifying production or installation methods, materials, quality and safety standards and directing production or installation work of telecommunications products and systems.",S_E,0.48,9.6,0.261
2153,Telecom Engineers,"Organizing and directing maintenance and repair of existing telecommunication systems, motors and equipment.",S_E,0.55,9.6,0.168
2153,Telecom Engineers,"Planning and designing communications networks based on wired, fibre optical and wireless communication media.",C_G,0.6,9.6,0.44
2153,Telecom Engineers,Designing and developing signal processing algorithms and implementing these through appropriate choice of hardware and software.,C_G,0.6,9.6,0.44
2153,Telecom Engineers,"Designing telecommunications networks and radio and television distribution systems, including both cable and over the air.",C_G,0.6,9.6,0.44
2151,Electrical Engineers,"Design, implement, maintain, or improve electrical instruments, equipment, facilities, components, products, or systems for commercial, industrial, or domestic purposes.",C_G,0.65,9.1,0.345
2151,Electrical Engineers,Operate computer-assisted engineering or design software or equipment to perform engineering tasks.,C_G,0.6,8.7,0.44
2151,Electrical Engineers,"Confer with engineers, customers, or others to discuss existing or potential engineering projects or products.",C_G,0.6,8.5,0.44
2151,Electrical Engineers,"Prepare technical drawings, specifications of electrical systems, or topographical maps to ensure that installation and operations conform to standards and customer requirements.",C_G,0.48,8.3,0.673
2151,Electrical Engineers,Develop software to control electrical systems.,C_G,0.6,8.1,0.44
2151,Electrical Engineers,Compile data and write reports regarding existing or potential electrical engineering studies or projects.,C_G,0.6,8.1,0.44
2151,Electrical Engineers,"Advising on and designing power stations and systems which generate , transmit and distribute electrical power.",C_G,0.6,6.9,0.44
2151,Electrical Engineers,"Supervising, controlling and monitoring the operation of electrical generation, transmission and distribution systems.",S_E,0.68,7.8,0.067
